SERIALNO,SPORDER,PWGTP,AGEP,SEX,RAC1P,HISP,SCHL,PINCP,POVPIP,OCCP,COW,ESR,CIT,MAR,NATIVITY,PUMA,ADJINC
2023GQ0000383,1,121,34,1,1,1,17,590,3,0,0,6,1,5,1,07509,1019518
2023GQ0000385,1,27,35,1,2,1,18,45000,290,4720,1,2,1,5,1,07513,1019518
2023GQ0001939,1,155,69,1,6,1,16,13800,97,0,0,6,4,1,2,07510,1019518
2023GQ0001994,1,8,40,1,2,1,18,0,0,1108,3,6,1,5,1,07508,1019518
2023GQ0002280,1,7,69,1,1,1,16,12500,86,0,0,6,1,5,1,07510,1019518
2023GQ0002283,1,65,94,2,1,1,16,2000,0,0,0,6,1,5,1,07507,1019518
2023GQ0002933,1,50,73,2,1,1,19,14800,0,0,0,6,1,5,1,07510,1019518
2023GQ0003502,1,31,81,2,1,1,21,2000,0,0,0,6,1,5,1,07509,1019518
2023GQ0003545,1,98,58,2,3,2,21,14900,95,4900,2,3,1,5,1,07511,1019518
2023GQ0004549,1,6,63,1,8,2,1,0,0,0,0,6,1,3,1,07510,1019518
2023GQ0004746,1,129,50,1,1,1,19,9000,58,7300,1,6,1,4,1,07510,1019518
2023GQ0004779,1,70,58,2,3,2,21,14900,95,4900,2,3,1,5,1,07508,1019518
2023GQ0004944,1,147,56,1,1,1,22,0,0,0,0,6,1,2,1,07509,1019518
2023GQ0005289,1,4,58,1,1,1,10,2700,17,0,0,6,1,1,1,07512,1019518
2023GQ0005870,1,66,32,1,8,2,18,0,0,4940,1,6,1,5,1,07511,1019518
2023GQ0006173,1,4,74,2,1,1,21,12800,91,0,0,6,1,5,1,07514,1019518
2023GQ0006743,1,19,33,1,2,1,17,0,0,0,0,6,1,5,1,07514,1019518
2023GQ0007144,1,47,19,2,2,1,16,10200,0,4640,3,1,1,5,1,07508,1019518
2023GQ0008069,1,70,94,2,6,1,21,5000,0,0,0,6,5,2,2,07507,1019518
2023GQ0008073,1,28,19,1,6,1,18,0,0,9920,9,3,1,5,1,07512,1019518
2023GQ0008152,1,66,71,2,1,1,21,35200,248,5860,1,6,1,3,1,07514,1019518
2023GQ0008707,1,17,56,1,6,1,21,13600,86,0,0,6,1,1,1,07509,1019518
2023GQ0008885,1,57,38,1,1,1,15,0,0,0,0,6,1,5,1,07509,1019518
2023GQ0009739,1,69,46,1,1,1,17,0,0,5240,1,3,3,3,1,07508,1019518
2023GQ0010253,1,105,50,2,6,1,17,0,0,0,0,6,1,3,1,07511,1019518
2023GQ0010497,1,161,94,2,6,1,14,19200,132,0,0,6,4,2,2,07509,1019518
2023GQ0010598,1,59,21,2,1,11,16,12000,0,5860,1,1,1,5,1,07512,1019518
2023GQ0010912,1,64,68,2,1,1,23,0,0,0,0,6,2,3,1,07510,1019518
2023GQ0010942,1,71,19,2,2,1,16,5100,0,4760,1,1,1,5,1,07508,1019518
2023GQ0011537,1,48,19,1,1,1,16,10000,0,4760,1,6,1,5,1,07510,1019518
2023GQ0011663,1,16,75,2,1,1,16,13800,98,0,0,6,1,5,1,07514,1019518
2023GQ0011924,1,67,19,2,1,2,19,5000,0,4055,1,3,1,5,1,07512,1019518
2023GQ0012021,1,18,22,2,6,1,16,10000,0,3930,2,1,5,5,2,07510,1019518
2023GQ0012505,1,47,19,1,1,1,16,3200,0,4720,1,2,1,5,1,07508,1019518
2023GQ0012747,1,18,58,2,3,2,21,14900,95,4900,2,3,1,5,1,07511,1019518
2023GQ0013316,1,3,18,2,6,1,16,0,0,0,0,6,1,5,1,07514,1019518
2023GQ0013794,1,14,74,1,1,1,19,18400,131,0,0,6,1,5,1,07514,1019518
2023GQ0013809,1,91,22,1,6,1,21,16000,0,1970,4,1,1,5,1,07510,1019518
2023GQ0014770,1,34,59,1,1,1,21,24300,154,2004,2,1,1,1,1,07513,1019518
2023GQ0014795,1,74,48,2,3,1,16,12000,78,5000,3,1,1,4,1,07509,1019518
2023GQ0015034,1,10,35,1,2,1,18,45000,290,4720,1,2,1,5,1,07509,1019518
2023GQ0015357,1,72,19,2,8,11,19,25200,0,4110,1,1,1,5,1,07508,1019518
2023GQ0016195,1,41,23,1,9,13,21,6100,0,1650,2,6,1,5,1,07512,1019518
2023GQ0016251,1,95,58,1,9,2,21,1100,7,9920,9,3,5,3,2,07510,1019518
2023GQ0016608,1,79,52,2,9,1,16,12040,77,4900,1,1,1,3,1,07509,1019518
2023GQ0016658,1,41,20,1,6,1,19,11400,0,1065,1,1,1,5,1,07508,1019518
2023GQ0016700,1,64,85,2,9,2,16,0,0,0,0,6,1,2,1,07507,1019518
2023GQ0016917,1,27,34,1,9,2,23,120000,0,3100,2,1,1,1,1,07512,1019518
2023GQ0017480,1,17,18,1,7,1,14,0,0,0,0,6,1,5,1,07510,1019518
2023GQ0017720,1,16,80,1,1,1,22,25700,183,0,0,6,1,5,1,07508,1019518
2023GQ0017837,1,21,50,2,6,1,17,0,0,0,0,6,1,3,1,07511,1019518
2023GQ0017844,1,57,22,1,6,1,21,16000,0,1970,4,1,1,5,1,07510,1019518
2023GQ0017930,1,56,18,2,1,1,18,11000,0,9645,1,1,1,5,1,07508,1019518
2023GQ0018337,1,24,72,1,8,2,16,19000,0,0,0,6,5,4,2,07512,1019518
2023GQ0018540,1,15,83,1,1,1,21,48600,346,0,0,6,1,3,1,07508,1019518
2023GQ0019255,1,63,75,2,1,1,21,0,0,0,0,6,1,2,1,07510,1019518
2023GQ0020460,1,20,50,1,1,1,19,9000,58,7300,1,6,1,4,1,07511,1019518
2023GQ0020622,1,5,38,2,1,1,19,6000,38,6260,1,6,1,5,1,07514,1019518
2023GQ0020693,1,62,18,2,1,2,18,4300,0,4720,1,6,1,5,1,07512,1019518
2023GQ0020716,1,53,66,2,6,1,16,14200,98,0,0,6,5,5,2,07514,1019518
2023GQ0020979,1,26,73,1,1,1,15,0,0,0,0,6,1,5,1,07507,1019518
2023GQ0021144,1,185,61,1,2,1,17,0,0,0,0,6,1,3,1,07508,1019518
2023GQ0021589,1,122,35,1,2,1,18,45000,290,4720,1,2,1,5,1,07509,1019518
2023GQ0022397,1,104,48,1,1,1,17,0,0,0,0,6,4,1,2,07509,1019518
2023GQ0022760,1,109,18,2,1,2,18,4300,0,4720,1,6,1,5,1,07512,1019518
2023GQ0022952,1,14,28,1,8,1,16,18700,120,4760,1,6,3,5,1,07510,1019518
2023GQ0023168,1,73,18,1,1,1,16,0,0,0,0,6,1,5,1,07508,1019518
2023GQ0023516,1,48,34,2,1,1,22,0,0,2300,3,6,1,1,1,07509,1019518
2023GQ0024099,1,31,18,1,9,2,16,0,0,0,0,6,5,5,2,07512,1019518
2023GQ0024248,1,62,19,2,2,1,16,5100,0,4760,1,1,1,5,1,07510,1019518
2023GQ0024295,1,30,24,2,1,1,21,0,0,2545,2,6,4,5,2,07510,1019518
2023GQ0024448,1,74,72,1,1,1,16,8600,60,0,0,6,1,3,1,07510,1019518
2023GQ0024500,1,52,18,1,1,1,16,8000,0,4055,1,1,1,5,1,07510,1019518
2023GQ0024892,1,20,48,1,1,1,17,0,0,0,0,6,4,1,2,07511,1019518
2023GQ0025551,1,70,89,1,1,1,16,7800,0,0,0,6,1,5,1,07512,1019518
2023GQ0025683,1,5,50,2,1,1,14,11900,76,6230,1,6,1,5,1,07509,1019518
2023GQ0025726,1,106,30,1,2,1,17,0,0,0,0,6,1,5,1,07514,1019518
2023GQ0025743,1,56,18,2,1,2,18,4300,0,4720,1,6,1,5,1,07508,1019518
2023GQ0026019,1,16,28,1,2,1,17,30000,192,3930,2,6,1,5,1,07510,1019518
2023GQ0026098,1,109,44,1,6,1,1,12500,81,2016,2,6,5,5,2,07509,1019518
2023GQ0026156,1,60,64,1,2,1,14,60,0,0,0,6,1,3,1,07508,1019518
2023GQ0026203,1,12,74,1,1,1,19,18400,131,0,0,6,1,5,1,07507,1019518
2023GQ0026216,1,235,33,1,6,1,24,57000,0,2205,2,1,5,5,2,07510,1019518
2023GQ0026477,1,103,41,1,1,1,21,0,0,4510,1,6,1,2,1,07510,1019518
2023GQ0027031,1,99,33,1,6,1,23,0,0,2100,1,6,5,5,2,07510,1019518
2023GQ0027619,1,83,56,1,1,1,22,0,0,0,0,6,1,2,1,07509,1019518
2023GQ0028485,1,61,69,1,6,1,16,13800,97,0,0,6,4,1,2,07514,1019518
2023GQ0028566,1,4,78,2,1,1,21,9100,64,0,0,6,1,5,1,07507,1019518
2023GQ0028680,1,10,59,1,1,1,18,0,0,0,0,6,4,3,2,07514,1019518
2023GQ0028863,1,65,44,1,1,1,17,0,0,0,0,6,1,5,1,07509,1019518
2023GQ0029308,1,63,21,2,1,1,16,4900,0,5400,1,1,1,5,1,07514,1019518
2023GQ0029814,1,35,78,2,1,1,21,9100,64,0,0,6,1,5,1,07510,1019518
2023GQ0029914,1,56,21,1,8,2,19,13500,0,5400,1,1,1,5,1,07509,1019518
2023GQ0030113,1,75,50,2,6,1,17,0,0,0,0,6,1,3,1,07507,1019518
2023GQ0031352,1,33,68,1,1,1,22,16100,110,4900,1,1,1,5,1,07510,1019518
